Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,55,55,56,57,57,58,58,59,59,60,60,61,61
Angola,53,53,54,55,56,56,57,58,59,59,60,61,61
Albania,75,76,76,76,76,76,77,78,78,78,78,78,78
Andorra,81,81,81,81,81,81,81,82,82,82,82,82,82
UAE,69,69,69,69,69,69,69,70,70,71,71,71,71
Argentina,74,74,74,74,75,75,75,75,76,76,76,76,76
Armenia,72,73,73,73,73,73,73,73,73,74,74,74,75
Antigua and Barbuda,75,75,75,76,76,76,76,75,75,76,76,76,76
Australia,80,80,80,81,81,81,81,82,82,82,82,82,83
Austria,78,79,79,79,79,80,80,80,81,81,81,81,81
Azerbaijan,67,67,67,67,67,67,68,68,68,69,69,69,70
Burundi,45,46,47,48,49,50,55,56,57,58,59,59,60
Belgium,78,78,78,79,79,79,80,80,80,80,80,80,80
Benin,57,58,58,58,58,59,59,60,60,61,61,61,62
Burkina Faso,52,53,53,54,55,55,56,56,57,58,58,58,59
Bangladesh,65,66,66,67,67,67,68,68,69,70,70,71,72
Bulgaria,70,70,71,71,71,71,71,72,72,72,72,73,73
Bahrain,72,73,73,72,72,73,73,74,74,74,75,75,76
Bahamas,71,71,72,72,72,73,73,74,73,73,73,73,73
Bosnia and Herzegovina,75,75,75,75,75,75,76,75,76,76,76,76,77
Belarus,69,69,68,69,69,69,69,70,71,71,71,71,72
Belize,70,71,71,72,72,72,73,73,74,74,74,74,74
Bolivia,67,67,68,68,69,69,69,70,70,70,70,71,71
Brazil,71,71,72,72,72,73,73,73,74,74,74,74,74
Barbados,75,75,75,75,75,75,75,76,76,76,76,76,76
Brunei,73,73,73,73,73,73,73,73,74,74,74,74,74
Bhutan,66,67,68,68,69,69,69,70,70,71,71,71,72
Botswana,46,45,45,46,48,50,51,53,55,56,57,58,59
Central African Republic,44,44,44,45,45,45,46,46,47,47,48,48,49
Canada,79,80,80,80,80,80,81,81,81,81,82,82,82
Switzerland,80,81,81,81,81,82,82,82,82,83,83,83,83
Chile,77,77,77,77,78,78,78,78,79,79,79,79,79
China,71,72,72,72,73,73,74,74,74,75,75,75,76
Cote d'Ivoire,51,51,52,52,53,53,54,55,56,57,57,58,59
Cameroon,54,54,54,54,55,55,55,56,57,57,58,58,59
"Congo, Dem. Rep.",54,54,54,55,55,56,57,57,57,58,59,59,60
"Congo, Rep.",53,54,55,55,56,57,58,59,59,60,61,62,62
Colombia,74,74,73,75,76,77,77,77,78,78,78,79,79
Comoros,61,62,63,63,64,64,64,65,65,65,66,66,66
Cape Verde,70,71,71,71,71,72,73,73,74,74,74,75,75
Costa Rica,78,78,78,78,79,79,79,80,80,81,80,80,80
Cuba,77,77,78,78,78,78,78,78,78,78,78,79,79
Cyprus,77,77,77,78,78,78,78,78,79,79,80,80,80
Czech Republic,75,75,76,76,76,76,77,77,77,78,78,78,78
Germany,78,79,79,79,79,80,80,80,80,80,81,81,81
Djibouti,60,60,61,61,61,61,61,62,63,63,63,64,64
Dominica,72,72,72,72,72,73,73,72,73,73,72,72,72
Denmark,77,77,77,78,78,78,79,79,79,79,80,80,80
Dominican Republic,74,74,74,73,73,73,73,73,73,73,74,73,73
Algeria,71,71,72,72,73,73,73,74,74,74,74,75,75
Ecuador,74,75,74,74,74,74,74,74,74,74,74,75,75
Egypt,69,68,68,68,68,69,69,69,69,69,69,70,70
Eritrea,55,56,57,57,57,58,58,59,59,60,60,60,61
Spain,79,80,80,80,80,81,81,81,81,82,82,82,82
Estonia,71,71,71,72,73,73,73,73,74,75,76,76,76
Ethiopia,51,53,54,55,56,57,58,60,61,62,63,64,65
Finland,78,78,79,79,79,79,80,80,80,80,80,81,81
Fiji,66,66,67,67,67,67,67,67,67,68,68,68,68
France,79,79,80,80,80,81,81,81,81,81,82,82,82
"Micronesia, Fed. Sts.",63,63,62,64,64,64,64,64,64,64,64,64,64
Gabon,60,60,60,60,60,61,62,62,62,63,63,64,64
UK,78,78,78,79,79,79,80,80,80,80,81,81,81
Georgia,71,71,70,71,71,71,71,72,72,72,72,72,72
Ghana,60,60,60,60,60,60,60,61,61,61,62,62,63
Guinea,54,55,55,55,56,56,56,57,57,57,58,58,58
Gambia,62,62,62,62,62,62,62,63,63,63,64,64,65
Guinea-Bissau,51,52,52,52,53,53,54,54,55,56,56,57,57
Equatorial Guinea,58,59,60,60,61,61,62,62,63,64,64,63,63
Greece,78,79,79,79,79,79,80,80,80,80,80,80,81
Grenada,72,72,72,72,72,72,73,73,73,73,72,73,73
Guatemala,67,67,68,68,68,68,69,70,70,70,70,71,71
Guyana,64,64,64,64,64,64,65,65,65,66,66,66,66
Honduras,70,70,70,70,71,71,71,71,71,71,71,71,69
Croatia,75,75,75,75,76,76,76,76,76,76,77,77,77
Haiti,57,58,58,58,58,59,60,60,60,61,33,60,61
Hungary,72,72,73,73,73,73,74,74,74,74,75,75,75
Indonesia,67,67,68,68,66,68,68,69,69,69,69,70,70
India,63,63,64,64,65,65,66,66,66,67,67,68,68
Ireland,77,77,78,78,79,79,79,80,80,80,81,81,81
Iran,72,72,73,72,73,74,74,74,75,75,75,76,76
Iraq,69,69,69,68,68,68,67,67,69,70,71,71,71
Iceland,80,81,81,81,81,82,82,82,82,82,83,83,83
Israel,79,79,79,79,80,80,80,81,81,81,82,82,82
Italy,80,80,80,80,81,81,81,81,82,82,82,82,82
Jamaica,75,75,76,76,77,77,78,76,75,75,76,76,77
Jordan,73,73,73,74,74,74,75,75,76,77,77,77,77
Japan,82,82,82,82,82,83,83,83,83,83,83,83,84
Kazakhstan,65,65,65,65,65,65,65,65,66,67,68,68,69
Kenya,55,55,55,55,56,57,57,59,59,60,61,62,63
Kyrgyz Republic,67,67,67,67,67,67,67,68,68,69,70,70,71
Cambodia,60,61,62,62,63,64,64,65,66,66,67,67,68
Kiribati,56,57,57,57,57,58,58,58,58,59,59,59,59
St. Kitts and Nevis,70,70,71,71,71,71,72,72,72,72,72,72,72
South Korea,76,77,77,78,78,79,79,80,80,81,81,81,82
Kuwait,78,79,79,79,79,79,79,79,78,79,80,81,81
Lao,58,59,60,60,61,62,62,63,64,64,65,66,66
Lebanon,75,75,75,75,75,75,75,75,75,76,76,76,76
Liberia,55,56,55,55,58,59,60,61,61,62,62,62,63
Libya,75,75,75,76,76,77,77,76,76,76,76,73,76
St. Lucia,73,73,74,74,74,74,75,75,75,76,76,76,76
Liechtenstein,77,79,80,80,82,81,81,82,83,82,82,82,83
Sri Lanka,71,73,73,73,69,73,74,74,73,73,74,75,76
Lesotho,48,47,46,45,44,44,44,45,46,47,48,48,48
Lithuania,72,72,72,72,72,71,71,71,71,73,73,74,74
Luxembourg,78,78,79,79,79,80,80,80,81,81,81,81,82
Latvia,71,70,71,71,71,71,70,71,72,73,73,74,74
Morocco,70,70,70,70,71,71,71,71,71,72,72,72,72
Monaco,79,79,79,79,79,79,79,79,79,79,79,79,79
Moldova,69,69,69,69,69,69,69,70,70,70,70,72,72
Madagascar,60,60,60,60,61,61,62,62,62,62,63,63,63
Maldives,72,73,74,74,74,76,76,77,77,77,78,78,78
Mexico,74,75,75,75,75,75,75,76,75,75,75,76,76
Marshall Islands,63,63,63,63,63,63,63,63,64,64,64,64,64
North Macedonia,72,71,72,72,72,72,72,72,73,73,73,74,74
Mali,53,54,54,55,56,56,57,57,58,58,58,59,59
Malta,79,79,79,79,80,80,80,80,81,81,81,81,81
Myanmar,59,59,60,60,61,61,62,63,58,64,65,65,66
Montenegro,74,74,74,74,74,74,74,74,74,74,75,75,75
Mongolia,61,61,62,62,63,63,63,64,65,65,65,66,66
Mozambique,52,52,52,52,52,52,52,53,53,54,54,54,54
Mauritania,64,64,65,65,65,66,66,67,67,68,68,68,69
Mauritius,72,73,73,73,73,73,73,74,74,74,74,75,75
Malawi,46,46,47,47,48,49,50,52,53,55,56,58,59
Malaysia,73,73,73,73,74,74,74,75,74,74,74,75,75
Namibia,54,53,52,52,52,54,55,57,59,60,61,62,63
Niger,52,52,53,54,55,56,57,57,58,59,59,59,60
Nigeria,55,55,55,56,56,57,57,58,58,59,60,60,61
Nicaragua,74,74,74,74,74,73,74,74,74,74,74,74,74
Netherlands,78,78,79,79,79,80,80,80,81,81,81,81,81
Norway,79,79,79,80,80,80,81,81,81,81,81,81,82
Nepal,65,66,66,67,67,68,68,68,69,69,69,69,69
Nauru,59,59,59,59,59,59,59,59,59,60,60,61,61
New Zealand,78,79,79,79,79,80,80,80,80,81,81,81,81
Oman,69,69,70,70,70,70,70,70,70,70,70,71,71
Pakistan,61,61,61,62,62,61,62,63,63,63,63,64,64
Panama,78,78,78,78,78,78,78,79,78,78,79,79,79
Peru,75,75,76,76,77,77,78,78,79,77,77,78,78
Philippines,70,70,70,70,70,70,70,70,70,70,71,71,71
Palau,66,67,67,67,67,67,67,67,67,67,67,67,67
Papua New Guinea,63,63,63,62,62,62,62,62,63,63,63,63,63
Poland,74,74,75,75,75,75,75,75,76,76,76,77,77
North Korea,64,64,64,70,70,70,70,70,71,71,71,71,71
Portugal,77,77,77,78,78,79,79,79,80,80,80,81,81
Paraguay,76,76,76,76,75,76,76,76,76,76,76,76,76
Palestine,70,70,69,70,70,71,70,72,69,70,74,74,74
Qatar,71,72,71,72,72,72,72,72,73,73,73,74,74
Romania,71,71,71,72,72,72,73,73,73,74,74,75,75
Russia,66,66,65,65,66,65,66,67,68,69,69,70,70
Rwanda,51,51,53,55,56,58,60,62,63,63,65,65,66
Saudi Arabia,70,71,71,71,71,71,71,71,71,72,72,72,73
Sudan,63,64,64,64,64,65,66,66,67,67,67,68,68
Senegal,61,61,61,62,63,63,64,64,65,65,66,66,66
Singapore,79,80,80,80,81,81,82,82,82,82,83,83,83
Solomon Islands,57,57,57,57,57,57,57,57,57,57,57,58,58
Sierra Leone,52,52,52,53,53,53,54,54,55,55,56,57,57
El Salvador,73,73,74,74,74,74,74,74,75,74,75,75,75
San Marino,82,82,82,82,82,82,82,82,82,82,82,82,82
Somalia,51,52,52,53,53,54,54,54,54,55,54,54,56
Serbia,71,72,72,72,72,72,73,73,73,74,74,74,75
South Sudan,57,58,58,58,59,59,59,60,60,60,61,61,61
Sao Tome and Principe,65,65,66,66,67,67,67,68,68,69,69,69,69
Suriname,70,70,70,70,70,71,71,72,72,72,72,73,73
Slovak Republic,74,74,74,74,75,74,75,75,75,75,76,76,76
Slovenia,76,76,77,77,77,78,78,79,79,79,80,80,80
Sweden,80,80,80,81,81,81,81,81,82,82,82,82,82
Eswatini,48,46,45,44,43,43,44,45,46,46,48,50,51
Seychelles,72,72,72,72,72,72,72,73,73,73,73,73,73
Syria,72,72,73,74,74,74,74,75,74,75,75,73,66
Chad,52,53,53,53,53,54,54,55,55,56,57,57,57
Togo,56,56,56,56,57,57,58,58,58,59,60,60,61
Thailand,72,73,73,74,74,75,75,76,76,77,77,77,78
Tajikistan,67,67,67,67,68,67,68,68,68,68,68,68,68
Turkmenistan,66,67,67,67,66,66,66,67,67,69,69,70,70
Timor-Leste,65,66,66,66,67,68,68,69,70,70,70,70,70
Tonga,71,71,71,71,71,72,72,72,72,70,72,72,72
Trinidad and Tobago,70,71,71,71,72,72,73,73,72,73,74,74,75
Tunisia,74,75,75,75,75,75,76,76,76,76,76,76,77
Turkey,75,75,75,76,76,77,77,77,77,77,77,77,77
Tuvalu,62,65,65,65,66,66,66,66,66,66,67,67,67
Tanzania,53,54,55,55,56,57,57,59,60,60,61,62,63
Uganda,50,50,51,52,53,54,55,57,58,59,59,60,61
Ukraine,68,68,68,68,68,68,68,68,68,70,71,71,72
Uruguay,75,75,75,75,75,76,76,76,76,77,77,76,77
USA,77,77,77,77,78,78,78,78,78,79,79,79,79
Uzbekistan,65,65,65,65,65,64,65,65,66,66,66,67,67
St. Vincent and the Grenadines,71,72,72,72,72,73,73,73,73,73,73,73,73
Venezuela,74,74,74,74,75,75,75,75,74,75,75,75,75
Vietnam,72,72,73,73,73,73,73,73,73,73,73,73,73
Vanuatu,64,64,64,64,64,64,64,64,64,64,64,65,65
Samoa,68,69,69,69,69,69,69,69,69,68,70,70,70
Yemen,64,64,64,65,65,66,66,67,67,67,68,68,68
South Africa,56,55,54,53,52,52,52,53,54,56,57,59,60
Zambia,45,45,46,47,48,49,50,52,54,56,57,57,59
Zimbabwe,48,47,47,46,46,47,47,48,49,50,52,54,56